business_name,category,2005-04-01,2005-07-01,2005-10-01,2006-01-01,2006-04-01,2006-07-01,2006-10-01,2007-01-01,2007-04-01,2007-07-01,2007-10-01,2008-01-01,2008-04-01,2008-07-01,2008-10-01,2009-01-01,2009-04-01,2009-07-01,2009-10-01,2010-01-01,2010-04-01,2010-07-01,2010-10-01,2011-01-01,2011-04-01,2011-07-01,2011-10-01,2012-01-01,2012-04-01,2012-07-01,2012-10-01,2013-01-01,2013-04-01,2013-07-01,2013-10-01,2014-01-01,2014-04-01,2014-07-01,2014-10-01,2015-01-01,2015-04-01,2015-07-01,2015-10-01,2016-01-01,2016-04-01,2016-07-01,2016-10-01,2017-01-01,2017-04-01,2017-07-01
Picasso,French,,,,3.0,1.0,1.0,5.0,5.0,2.0,8.0,3.0,11.0,15.0,10.0,9.0,12.0,10.0,7.0,4.0,12.0,10.0,14.0,10.0,23.0,22.0,19.0,30.0,16.0,11.0,13.0,25.0,18.0,26.0,32.0,25.0,24.0,22.0,27.0,24.0,37.0,22.0,17.0,20.0,19.0,27.0,25.0,24.0,28.0,29.0,1.0
Grand Lux Cafe,American (Traditional),,,,3.0,4.0,6.0,4.0,9.0,5.0,12.0,10.0,33.0,29.0,19.5,20.5,26.5,23.5,31.0,28.0,39.5,30.5,38.0,47.0,42.0,50.0,52.5,52.0,52.0,47.0,48.0,36.5,41.0,43.0,59.5,43.5,50.0,54.0,51.0,42.5,48.5,56.5,63.0,46.0,57.5,61.0,55.0,49.5,59.5,51.5,19.0
Raku,Japanese,,,,,,,,,,,,,4.0,3.0,5.0,8.0,16.0,9.0,16.0,36.0,33.0,34.0,23.0,39.0,29.0,39.0,21.0,32.0,25.0,28.0,29.0,28.0,30.0,43.0,50.0,43.0,35.0,53.0,42.0,49.0,40.0,61.0,42.0,51.0,45.0,50.0,46.0,45.0,35.0,10.0
Omelet House,American (Traditional),,,,,,,,,,,,2.0,2.0,1.0,3.0,5.0,4.0,4.0,11.0,9.0,6.0,16.0,10.0,16.0,7.0,17.0,12.0,10.0,12.0,21.0,22.0,24.0,11.0,21.0,30.0,27.0,21.0,46.0,40.0,48.0,42.0,45.0,32.0,34.0,41.0,51.0,45.0,51.0,63.0,16.0
Herbs & Rye,Italian,,,,,,,,,,,,,,,,,,,1.0,12.0,11.0,13.0,10.0,13.0,16.0,17.0,18.0,14.0,8.0,17.0,15.0,25.0,29.0,23.0,29.0,28.0,43.0,51.0,40.0,35.0,55.0,46.0,46.0,66.0,68.0,56.0,52.0,64.0,67.0,44.0
BabyStacks Cafe,American (Traditional),,,,,,,,,,,,,,,,,,,,,,,39.0,75.0,54.0,63.0,37.0,46.5,41.0,43.5,21.5,35.5,39.5,48.5,38.0,54.5,51.5,53.0,41.5,40.5,45.5,54.0,39.0,40.5,43.0,36.5,31.0,46.0,38.5,14.5
Bouchon Bakery at the Venetian Casino,French,,,,,,,,1.0,4.0,3.0,7.0,6.0,16.0,11.0,11.0,17.0,21.0,21.0,19.0,24.0,26.0,27.0,38.0,42.0,36.0,39.0,39.0,37.0,31.0,37.0,28.0,27.0,34.0,33.0,37.0,35.0,32.0,40.0,32.0,26.0,19.0,27.0,17.0,16.0,21.0,19.0,9.0,23.0,13.0,5.0
Olives,Mediterranean,,1.0,1.0,3.0,3.0,4.0,3.0,8.0,7.0,8.0,8.0,16.0,7.0,18.0,7.0,14.0,21.0,41.0,18.0,30.0,24.0,36.0,25.0,42.0,28.0,38.0,40.0,43.0,47.0,50.0,30.0,42.0,47.0,62.0,51.0,60.0,52.0,66.0,70.0,52.0,54.0,56.0,69.0,59.0,65.0,60.0,47.0,52.0,64.0,18.0
Lindo Michoacan,Mexican,,,,,,,1.0,1.0,3.0,3.0,4.0,4.0,1.0,,1.0,4.0,7.0,5.0,1.0,12.0,14.0,10.0,8.0,10.0,17.0,12.0,13.0,17.0,13.0,21.0,15.0,23.0,21.0,22.0,25.0,23.0,39.0,45.0,36.0,40.0,55.0,45.0,32.0,43.0,37.0,48.0,36.0,49.0,57.0,19.0
Hot N Juicy Crawfish,American (Traditional),,,,,,,,,1.0,2.0,3.0,4.0,5.0,7.0,3.0,14.0,14.0,22.0,20.0,45.0,46.0,84.0,66.0,67.0,77.0,65.0,49.0,44.0,45.0,53.0,32.0,45.0,45.0,42.0,38.0,49.0,42.0,37.0,27.0,52.0,43.0,40.0,29.0,32.0,33.0,50.0,19.0,27.0,39.0,11.0
Sushi Roku,Japanese,,,,3.0,2.0,3.0,,10.0,14.0,8.0,6.0,13.0,11.0,15.0,16.0,18.0,13.0,16.0,12.0,30.0,22.0,20.0,15.0,21.0,25.0,23.0,12.0,23.0,19.0,14.0,14.0,22.0,16.0,20.0,28.0,34.0,28.0,37.0,36.0,30.0,32.0,46.0,43.0,44.0,43.0,42.0,37.0,36.0,31.0,9.0
Brio Tuscan Grille,Italian,,,,,,,,,,,,1.0,3.0,6.0,2.0,3.0,5.0,7.0,10.0,12.0,15.0,23.0,20.0,20.0,25.0,32.0,17.0,21.0,22.0,22.0,25.0,28.0,33.0,27.0,33.0,29.0,49.0,35.0,20.0,41.0,48.0,36.0,35.0,31.0,49.0,53.0,35.0,41.0,62.0,12.0
Yard House,American (Traditional),,,,,,,,,,,,2.0,10.0,13.0,11.0,9.0,16.0,17.0,11.0,13.0,15.0,26.0,30.0,25.0,36.0,22.0,17.0,31.0,32.0,20.0,26.0,26.0,32.0,31.0,33.0,41.0,50.0,36.0,36.0,42.0,56.0,67.0,51.0,60.0,35.0,34.0,24.0,41.0,46.0,10.0
JJANGA Japanese Restaurant,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,93.0,81.0,81.0,73.0,45.0,52.0,57.0,56.0,42.0,46.0,47.0,91.0,58.0,16.0
Chayo Mexican Kitchen + Tequila Bar,Mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,99.0,41.0,43.0,69.0,127.0,95.0,76.0,76.0,80.0,70.0,45.0,57.0,72.0,19.0
Sushi Koma,Japanese,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,23.0,35.0,23.0,19.0,25.0,31.0,34.0,44.0,44.0,43.0,31.0,47.0,38.0,45.0,26.0,34.0,63.0,46.0,29.0,43.0,50.0,13.0
Mount Everest India's Cuisine,Indian,,,,,,,,,,,,,,,,,2.0,5.0,7.0,7.0,2.0,11.0,15.0,8.0,9.0,9.0,8.0,21.0,18.0,12.0,20.0,33.0,29.0,37.0,35.0,44.0,33.0,47.0,53.0,74.0,49.0,60.0,55.0,88.0,48.0,36.0,66.0,62.0,46.0,17.0
Cafe Bellagio,American (Traditional),,,,,,,1.0,4.0,4.0,6.0,1.0,8.0,7.0,11.0,13.0,9.0,8.0,11.0,13.0,18.0,10.0,20.0,11.0,20.0,12.0,20.0,24.0,20.0,20.0,24.0,18.0,7.0,17.0,25.0,24.0,21.0,24.0,29.0,23.0,26.0,28.0,35.0,28.0,24.0,24.0,31.0,23.0,29.0,36.0,9.0
Bayside Buffet at Mandalay Bay,American (Traditional),,,,,,,,2.0,12.0,2.0,5.0,14.0,12.0,13.0,9.0,13.0,12.0,27.0,12.0,18.0,13.0,19.0,16.0,17.0,27.0,31.0,26.0,12.0,21.0,22.0,18.0,13.0,21.0,26.0,24.0,25.0,23.0,33.0,37.0,25.0,34.0,45.0,33.0,33.0,37.0,52.0,42.0,41.0,48.0,20.0
